"Summary","Description","Priority","Issue Type","Epic","Component","Estimate","Suggested Owner","Parallel Track","Can Start After","Acceptance Criteria"
"Project setup and settings","Django DRF project settingsni env orqali ishlaydigan qiling. PostgreSQL, media/static, DRF token auth, installed MVP applar sozlansin.","High","Task","Foundation","Core","3","Dev A","Foundation","","Server run bo'ladi; migrate ishlaydi; DRF token auth yoqilgan; ortiqcha app yo'q"
"Custom user and simple auth flow","Default username login saqlangan custom User yozing. UserManager yozilmasin. Signup login logout me profile update endpointlari bo'lsin.","High","Task","Accounts","Auth API","5","Dev A","Accounts","Project setup and settings","/api/auth/signup login logout me ishlaydi; token qaytadi; email unique; profile patch ishlaydi"
"Become seller flow","Authenticated user display_name bio yuborib seller profile ochadi. User is_seller true bo'ladi. Takror chaqirilsa profile update bo'ladi.","High","Task","Accounts","Seller Profile","3","Dev A","Accounts","Custom user and simple auth flow","/api/auth/become-seller ishlaydi; seller_profile response ichida qaytadi"
"Category model and admin","MVP Category model yozing: parent name slug is_active sort_order. Admin list filter search prepopulated slug bo'lsin.","High","Task","Catalog","Categories","3","Dev B","Catalog","Project setup and settings","Category CRUD admin orqali ishlaydi; inactive category ajratiladi"
"Category public API","Category list va tree endpoint yozing. Faqat active categorylar public chiqsin.","Medium","Task","Catalog","Categories API","3","Dev B","Catalog","Category model and admin","GET /api/categories/ va /api/categories/tree/ ishlaydi"
"Kwork model and admin","MVP Kwork model yozing: seller category title slug description price currency delivery_days image status. Package, extra, portfolio, FAQ, attribute value hozircha bo'lmasin.","High","Task","Kworks","Kwork Model","4","Dev A","Kworks","Category model and admin; Become seller flow","Kwork migrate bo'ladi; seller slug unique; admin list/filter ishlaydi"
"Kwork seller CRUD API","Seller o'z kworklarini create update pause activate qila oladi. Seller bo'lmagan user create qila olmaydi.","High","Task","Kworks","Kwork API","5","Dev A","Kworks","Kwork model and admin","POST/PATCH owner permission bilan ishlaydi; status draft/active/paused boshqariladi"
"Kwork public listing and detail","Public listing faqat active kworklarni qaytaradi. Search q, category, price_min, price_max, ordering parametrlari MVP darajada ishlaydi.","High","Task","Kworks","Catalog API","4","Dev B","Kworks","Kwork model and admin","GET /api/kworks/ va detail ishlaydi; paused/draft publicda chiqmaydi"
"Order model and admin","MVP Order model yozing: buyer seller kwork title_snapshot price currency requirements status. Payment/refund/dispute/commission hozircha bo'lmasin.","High","Task","Orders","Order Model","4","Dev C","Orders","Kwork model and admin","Order migrate bo'ladi; admin buyer/seller/status bo'yicha ko'rinadi"
"Order create and list API","Buyer active kworkga order ochadi. Own kwork sotib olish bloklanadi. Buyer va seller o'z orderlarini list/detail ko'radi.","High","Task","Orders","Order API","5","Dev C","Orders","Order model and admin; Kwork public listing and detail","POST /api/orders/ ishlaydi; permissions to'g'ri; snapshot price saqlanadi"
"Order chat API","Order participantlari message yuboradi va o'qiydi. Begona user 403 oladi.","Medium","Task","Orders","Chat","3","Dev B","Orders","Order create and list API","GET/POST order messages ishlaydi; participant permission bor"
"Delivery and completion flow","Seller delivery yuboradi. Buyer completed statusga o'tkazadi. Revision, dispute, refund MVPdan tashqarida qolsin.","High","Task","Orders","Delivery","4","Dev C","Orders","Order chat API","Deliver endpoint status delivered qiladi; complete endpoint status completed qiladi"
"Seed demo data","Admin, buyer, seller, categories, active kworks demo datani idempotent command bilan yarating.","Medium","Task","Dev Experience","Seed Data","3","Dev A","DevEx","Core models ready","seed command qayta ishlaganda duplicate buzmaydi; README credentials bor"
"README setup","uv sync, env, postgres, migrate, createsuperuser, seed, runserver komandalarini yozing. MVP scope va olib tashlangan v2 qismlarini qisqa belgilang.","High","Task","Documentation","README","2","Dev B","Docs","Project setup and settings","Yangi dev 15 minutda run qila oladi; MVP scope aniq"
"API tests MVP flow","Auth signup/login/me, become seller, category list, kwork CRUD/list, order create/chat/deliver/complete testlarini yozing.","High","Task","Testing","API Tests","6","Dev C","Testing","Main API endpoints ready","pytest yoki Django tests pass; core happy path va permission xatolari qamrab olingan"
