"Summary","Description","Priority","Issue Type","Epic","Component","Estimate","Suggested Owner","Parallel Track","Can Start After","Acceptance Criteria"
"Project skeleton and Django settings tayyorlash","Django REST Framework loyihani ishga tushirish uchun asosiy project structure yarating. settings fayllarini dev/test/prodga ajrating yoki bitta settings ichida env orqali boshqaring. INSTALLED_APPS ichiga DRF va loyiha applari qo'shiladigan joylarni tayyorlang. .env.example yarating. Static/media sozlamalarini lokal development uchun ishlaydigan qiling.","High","Task","Foundation","Core","5","Dev A","Foundation","Models spec ready","Server run bo'ladi; settings envdan o'qiydi; .env.example bor; media/static lokalda ishlaydi"
"PostgreSQL database config va initial migration workflow","PostgreSQL ulanishini sozlang. DATABASE_URL yoki alohida envlar orqali ishlasin. Migration yaratish va apply qilish bo'yicha README bo'limini yozing. SQLitega bog'lanib qolmasin. Dev database yaratish komandalarini yozing.","High","Task","Foundation","Database","3","Dev B","Foundation","Models spec ready","Django postgresga ulanadi; migrate ishlaydi; READMEda setup komandalar bor"
"Base model utilities va common enums yaratish","created_at updated_at UUID base model soft delete status enum money helper kabi umumiy abstraksiyalarni yozing. Har modelda takrorlanadigan fieldlar bitta joydan ishlasin. Enumlar readable bo'lsin va serializerlarda value aniq qaytsin.","High","Task","Foundation","Core","4","Dev C","Foundation","Models spec ready","Base UUID model bor; timestamp fields bor; umumiy enumlar test bilan tekshirilgan"
"Custom User model va auth app scaffold","Custom User modelni email username phone status role flags bilan yarating. UserManager email normalize qilsin. Admin panelda user list/search/filter chiqsin. Model migrations ishlasin.","High","Task","Accounts","Auth","5","Dev A","Accounts","Models spec ready","Custom user migrate bo'ladi; admin list bor; email username unique; status enum ishlaydi"
"JWT auth endpoints implementatsiya","Signup login logout me password reset request/confirm endpointlarini DRF orqali yozing. Login JWT token qaytarsin. Signup username/email unique validation qilsin. Password reset email stub log yozsin.","High","Task","Accounts","Auth API","5","Dev A","Accounts","User model ready","/api/auth/signup login logout me password reset endpointlari ishlaydi; xato validation tushunarli; tests bor"
"User profile update API","GET PATCH /api/users/me endpointini kengaytiring. Avatar country city timezone language first_name last_name update bo'lsin. User faqat o'z profilini update qila olsin.","Medium","Task","Accounts","Profile API","3","Dev A","Accounts","User model ready","Authenticated user o'z profilini ko'radi va patch qiladi; boshqa userga patch mumkin emas; tests bor"
"BuyerProfile va SellerProfile CRUD","BuyerProfile va SellerProfile modellarini implement qiling. Seller profile GET/PATCH endpointlari bo'lsin. Public seller profile endpoint username orqali ko'rinsin. Rating count fields hozircha cached default bilan chiqsin.","High","Task","Profiles","Profile API","5","Dev B","Profiles","User model ready","Seller profile yaratish/update ishlaydi; public profile ko'rinadi; permissions to'g'ri; tests bor"
"SellerSkill CRUD endpointlari","Seller profilega skill qo'shish o'chirish va list qilish endpointlarini yozing. Skill name slug unique per seller bo'lsin. Duplicate skill validation chiqsin.","Low","Task","Profiles","Profile API","2","Dev C","Profiles","SellerProfile ready","Seller skill add/list/delete ishlaydi; duplicate rad etiladi; tests bor"
"Category tree model va admin","Category modelni parent child tree sifatida implement qiling. Admin panelda parent filter sort_order is_active ko'rinsin. 3-level category tree uchun clean validation yozing.","High","Task","Catalog","Categories","4","Dev B","Catalog","Base model ready","Category tree yaratish mumkin; 3-level validation bor; admin usable; tests bor"
"Category public API","GET /api/categories/ GET /api/categories/tree/ GET /api/categories/{slug}/ endpointlarini yozing. Tree endpoint root category childlari bilan JSON qaytarsin. Inactive category publicda chiqmasin.","High","Task","Catalog","Categories API","3","Dev B","Catalog","Category model ready","Category list tree detail ishlaydi; inactive category chiqmaydi; tests bor"
